name;gender;birthdate;occupation;hobby;Cpf;age
Sarah Teixeira;M;1955-11-02;Engenheiro agrícola;ESPORTES;810.413.081-16;68
Erick Monteiro;F;1998-10-27;Maquiador;CINEMA;361.346.399-74;25
Rodrigo da Cunha;M;1998-12-17;Dançarino;PINTURA;636.229.727-00;25
André da Cunha;F;1975-03-16;Biólogo;FOTOGRAFIA;143.274.581-63;49
Luiz Fernando Moreira;F;1980-12-16;Engenheiro ambiental;CINEMA;349.588.731-80;43
Srta. Olivia Barbosa;M;1987-08-02;Designer de interiores;LEITURA;770.619.267-91;36
Dra. Ana Sales;M;1981-07-06;Paginador;DANÇA;476.901.641-70;42
Joana Ferreira;M;1990-03-29;Carteiro;JARDINAGEM;842.293.370-51;34
Kevin Aragão;F;1982-12-22;Guitarrista;ESPORTES;149.861.402-72;41
Daniel Mendes;M;1964-12-26;Técnico em desporto;DANÇA;001.559.872-16;59
Emilly Freitas;F;1969-10-08;Advogado;ESPORTES;666.614.781-28;54
Sr. Vinicius Rezende;F;1955-07-02;Engenheiro ambiental;JARDINAGEM;478.084.388-04;69
Emilly da Cruz;M;1997-01-29;Estampador de tecidos;LEITURA;203.511.907-32;27
Carolina Moura;M;1978-01-31;Seguidor de compras;VIAGEM;597.060.382-13;46
Srta. Rebeca Peixoto;M;1983-07-04;Manobrista;MÚSICA;165.856.779-00;40
Luiza Almeida;F;1983-09-20;Roteirista;CINEMA;860.859.328-98;40
Daniel Santos;F;1974-07-07;Desembargador de justiça;FOTOGRAFIA;536.539.204-34;49
Marcela Silveira;F;1988-07-24;Diretor de cinema;FOTOGRAFIA;262.569.040-28;35
Sophie Jesus;M;1980-03-05;Intérprete;FOTOGRAFIA;247.486.115-70;44
Dr. Paulo Porto;M;1993-07-11;Faxineiro;CULINÁRIA;699.140.512-43;30
Maria Barros;M;1973-01-15;Profissional de informática;DANÇA;052.510.013-04;51
Ana Lívia Nascimento;M;1959-09-18;Kite-surfer;ESPORTES;647.452.837-09;64
Emanuella Freitas;F;1999-06-07;Engenheiro de horticultura;JARDINAGEM;337.463.164-99;25
Luiz Henrique da Conceição;M;1998-11-09;Pedagogo;CINEMA;568.633.023-90;25
Kamilly Barbosa;M;1990-11-19;Artista de circo;MÚSICA;397.516.088-80;33
Augusto Almeida;M;1969-01-31;Coreógrafo;MÚSICA;406.968.838-21;55
Srta. Maitê Porto;M;1963-08-20;Museólogo;VIAGEM;109.136.565-26;60
Lucas Gabriel Vieira;F;2002-04-12;Montador de negativos;ESPORTES;249.932.413-99;22
Luiz Gustavo Novaes;F;1966-05-03;Revisor;ESPORTES;901.193.217-00;58
Sabrina Cunha;M;1970-12-23;Alergologista;PINTURA;869.235.657-31;53
Júlia Dias;F;1989-07-01;Arqueólogo;ESPORTES;343.329.938-29;35
Yuri Campos;M;1987-11-24;Fonoaudiólogo;MÚSICA;422.411.403-84;36
Pietra Moreira;F;1967-02-08;Terapeuta Holístico;PINTURA;652.583.332-99;57
Joana Souza;M;1982-06-22;Técnico em taquigrafia;JARDINAGEM;612.827.570-24;42
Fernanda da Mota;M;1955-09-05;Gourmet;FOTOGRAFIA;662.169.692-26;68
Paulo Duarte;M;1995-11-03;Ecólogo;CINEMA;970.018.791-85;28
João Felipe da Luz;F;1979-12-04;Marceneiro;JARDINAGEM;935.052.164-45;44
Clarice da Cunha;F;1987-05-11;Torneiro mecânico;ESPORTES;536.258.046-97;37
Carolina das Neves;F;1969-03-09;Agente comunitário de saúde;VIAGEM;725.836.856-60;55
Heitor da Rosa;M;1953-07-09;Perfusionista;CINEMA;189.378.471-16;70
